latitude,longitude,lat,lng,OID,CLUES,ESTADO,CLAVE_ENT,MUNICIPIO,CLAVE_MUNICIPIO,CVE_MUN,NOMBRE_LOCALIDAD,CLAVE_LOCALIDAD,NOMBRE_JURISDICCION,CLAVE_JURISDICCION,NOMBRE_INSTITUCION,CLAVE_INSTITUCION,TIPO_ESTABLECIMIENTO,CLAVE_TIPO_ESTABLECIMIENTO,NOMBRE_TIPOLOGIA,CLAVE_TIPOLOGIA,NOMBRE_SUBTIPOLOGIA,CLAVE_SUBTIPOLOGIA,CONSULTORIOS_MED_GRAL,OTROS_CONSULTORIOS,TOTAL_CONSULTORIOS,CAMAS_HOS,OTRAS_CAMAS,TOTAL_CAMAS,UNIDAD,ATENC_COVID,ESTADO_FASE,FASE_1_COVID,FASE_2_COVID,FASE_3_COVID,CLAVE_VIALIDAD,TIPO_VIALIDAD,VIALIDAD,NUMERO_EXTERIOR,NUMERO_INTERIOR,CLAVE_TIPO_ASENTAMIENTO,TIPO_ASENTAMIENTO,ASENTAMIENTO,OBSERVACIONES_DIRECCION,CODIGO_POSTAL,ESTATUS_OPERACION,CLAVE_ESTATUS_OPERACION,FECHA_CONSTRUCCION,FECHA_INICIO_OPERACION,LATITUDE,LONGITUDE,INS_ADM,INS_ADM_CLAVE,NIVEL_ATENCION,CLAVE_NIVEL_ATENCION,ESTRATO_UNIDAD,CLAVE_ESTRATO_UNIDAD,AREAS_SERVICIOS,POB_ENT,POB_MUN,RES_MUN_18ABR,RES_MUN_18ABR,RES_MUN_19ABR,RES_MUN_20ABR
21.8765,-102.2542,21.8765,-102.2542,10,ASIMS000016,AGUASCALIENTES,1,AGUASCALIENTES,1,1001,AGUASCALIENTES,1,AGUASCALIENTES,1,INSTITUTO MEXICANO DEL SEGURO SOCIAL,IMSS,DE HOSPITALIZACIÓN,2,HOSPITAL GENERAL DE ZONA,HGZ,NO ESPECIFICADO,99,22,0,22,141,0,141,HGZ 2 AGUASCALIENTES,SI,2,,2 ATENCIÓN Y TRATAMIENTO,,5,CALLE,DE LOS CONOS,102,,,,FRACCIONAMIENTO OJOCALIENTE,"AV. DE LOS CONOS NO. 102 COL. FRACCIONAMIENTO OJOCALIENTE C.P. 20190, AGUASCALIENTES, AGUASCALIENTES",20190,EN OPERACION,1,,,21.8765,-102.2542,NO ESPECIFICADO,99,SEGUNDO NIVEL,2,URBANO,2,,1184996,797010,66,66,69,69
21.8558,-102.255,21.8558,-102.255,162,ASSSA001025,AGUASCALIENTES,1,AGUASCALIENTES,1,1001,AGUASCALIENTES,1,AGUASCALIENTES,1,SECRETARIA DE SALUD,SSA,DE APOYO,3,LABORATORIOS,LAB,NO ESPECIFICADO,99,0,0,0,0,0,0,LABORATORIO ESTATAL DE SALUD PÚBLICA,SI,1,1 PRUEBAS DE DETECCIÓN,,,5,CALLE,SIGLO XXI,105,,,,CIUDAD SATÉLITE MORELOS,"AVENIDA SIGLO XXI NO. 105, CIUDAD SATÉLITE MORELOS",20298,EN OPERACION,1,18/12/1999,18/12/1999,21.8558,-102.255,SECRETARÍA DE SALUD ESTATAL,SESA,NO APLICA,6,URBANO,2,,1184996,797010,66,66,69,69
32.6621,-115.468,32.6621,-115.468,214,BCIMS000122,BAJA CALIFORNIA,2,MEXICALI,2,2002,MEXICALI,1,MEXICALI,1,INSTITUTO MEXICANO DEL SEGURO SOCIAL,IMSS,DE HOSPITALIZACIÓN,2,HOSPITAL GENERAL DE ZONA,HGZ,NO ESPECIFICADO,99,36,0,36,214,0,214,HGZ 30 MEXICALI,SI,2,,2 ATENCIÓN Y TRATAMIENTO,,5,CALLE,LERDO Y CALLE F,,,,,NUEVA,"AV. LERDO Y CALLE F COL. NUEVA C.P. 21100, MEXICALI, BAJA CALIFORNIA NORTE",21100,EN OPERACION,1,,,32.6621,-115.468,NO ESPECIFICADO,99,SEGUNDO NIVEL,2,URBANO,2,,3155070,936826,214,230,241,256
32.4994,-116.9652,32.4994,-116.9652,228,BCIMS000262,BAJA CALIFORNIA,2,TIJUANA,4,2004,TIJUANA,1,TIJUANA,2,INSTITUTO MEXICANO DEL SEGURO SOCIAL,IMSS,DE HOSPITALIZACIÓN,2,HOSPITAL GENERAL REGIONAL,HGR,NO ESPECIFICADO,99,49,0,49,200,0,200,HGR 20 TIJUANA,SI,2,,2 ATENCIÓN Y TRATAMIENTO,,5,CALLE,GUSTAVO DÍAZ ORDAZ Y AVENIDA LÁZARO CÁRDENAS,SIN NÚMERO,,,,LA MESA,"BLVD. GUSTAVO DÍAZ ORDAZ Y AV. LÁZARO CÁRDENAS S/N COL. LA MESA C.P. 22450, TIJUANA, BAJA CALIFORNIA NORTE",22450,EN OPERACION,1,,,32.4994,-116.9652,NO ESPECIFICADO,99,SEGUNDO NIVEL,2,URBANO,2,,3155070,1559683,294,343,401,443
32.4771,-116.9268,32.4771,-116.9268,239,BCIMS000373,BAJA CALIFORNIA,2,TIJUANA,4,2004,TIJUANA,1,TIJUANA,2,INSTITUTO MEXICANO DEL SEGURO SOCIAL,IMSS,DE HOSPITALIZACIÓN,2,HOSPITAL GENERAL REGIONAL,HGR,NO ESPECIFICADO,99,22,0,22,273,0,273,HGR 1 TIJUANA,SI,3,,,3 HOSPITAL ATENCIÓN Y TRATAMIENTO,,,CAÑADA,16801,,,,TERCERA ETAPA RÍO TIJUANA,"CALLE CAÑADA NO. 16801 TERCERA ETAPA RÍO TIJUANA C.P. 22226, TIJUANA, BAJA CALIFORNIA NORTE",22226,EN OPERACION,1,,01/03/2001,32.4771,-116.9268,NO ESPECIFICADO,99,SEGUNDO NIVEL,2,URBANO,2,,3155070,1559683,294,343,401,443
32.5256,-117.0097,32.5256,-117.0097,581,BCSSA000913,BAJA CALIFORNIA,2,TIJUANA,4,2004,TIJUANA,1,TIJUANA,2,SECRETARIA DE SALUD,SSA,DE HOSPITALIZACIÓN,2,HOSPITAL GENERAL,M,NO ESPECIFICADO,99,0,31,31,217,96,313,HOSPITAL GENERAL TIJUANA,SI,2,,2 ATENCIÓN Y TRATAMIENTO,,3,AVENIDA,CENTENARIO,10851,,7,COLONIA,ZONA RÍO,AV. CENTENARIO 10851 ZONA RIO,22000,EN OPERACION,1,,,32.5256,-117.0097,SECRETARÍA DE SALUD ESTATAL,SESA,SEGUNDO NIVEL,2,URBANO,2,,3155070,1559683,294,343,401,443
32.6512,-115.4675,32.6512,-115.4675,681,BCSSA017701,BAJA CALIFORNIA,2,MEXICALI,2,2002,MEXICALI,1,MEXICALI,1,SECRETARIA DE SALUD,SSA,DE APOYO,3,LABORATORIOS,LAB,NO ESPECIFICADO,99,0,0,0,0,0,0,LABORATORIO ESTATAL DE SALUD PÚBLICA,SI,1,1 PRUEBAS DE DETECCIÓN,,,5,CALLE,F Y MECANICOS S/N,SIN NÚMERO,,,,INDUSTRIAL,MECANICOS Y CALLE F S/N,21010,EN OPERACION,1,,01/11/2006,32.6512,-115.4675,SECRETARÍA DE SALUD ESTATAL,SESA,NO APLICA,6,URBANO,2,,3155070,936826,214,230,241,256
24.146,-110.3187,24.146,-110.3187,752,BSIMS000113,BAJA CALIFORNIA SUR,3,LA PAZ,3,3003,LA PAZ,1,LA PAZ,3,INSTITUTO MEXICANO DEL SEGURO SOCIAL,IMSS,DE HOSPITALIZACIÓN,2,HOSPITAL GENERAL DE ZONA,HGZ,NO ESPECIFICADO,99,49,0,49,98,0,98,HGZMF 1 LA PAZ,SI,2,,2 ATENCIÓN Y TRATAMIENTO,,,,NO DISPONIBLE,,,,,PUEBLO NUEVO,"BLVD. 5 DE FEBRERO ENTRE HÉROES DE INDEPENDENCIA Y GÓMEZ FARÍAS COL. PUEBLO NUEVO C.P. 23060, LA PAZ, BAJA CALIFORNIA SUR",23060,EN OPERACION,1,,,24.146,-110.3187,NO ESPECIFICADO,99,SEGUNDO NIVEL,2,URBANO,2,,637026,251871,50,50,67,67
22.8996,-109.9279,22.8996,-109.9279,756,BSIMS000154,BAJA CALIFORNIA SUR,3,LOS CABOS,8,3008,CABO SAN LUCAS,54,LOS CABOS,4,INSTITUTO MEXICANO DEL SEGURO SOCIAL,IMSS,DE HOSPITALIZACIÓN,2,HOSPITAL GENERAL DE SUBZONA CON MEDICINA FAMILIAR,HGSMF,NO ESPECIFICADO,99,25,0,25,36,0,36,HGSMF 26 CABO SAN LUCAS,SI,2,,2 ATENCIÓN Y TRATAMIENTO,,,,NO DISPONIBLE,,,,,BRISAS DEL PACÍFICO,"CARRETERA A TODOS LOS SANTOS KM 2.5 COL. BRISAS DEL PACÍFICO C.P. 23410, CABO SAN LUCAS, BAJA CALIFORNIA SUR",99999,EN OPERACION,1,,01/06/1998,22.8996,-109.9279,NO ESPECIFICADO,99,SEGUNDO NIVEL,2,URBANO,2,,637026,238487,117,120,122,134
24.122,-110.3147,24.122,-110.3147,903,BSSSA000852,BAJA CALIFORNIA SUR,3,LA PAZ,3,3003,LA PAZ,1,LA PAZ,3,SECRETARIA DE SALUD,SSA,DE APOYO,3,LABORATORIOS,LAB,NO ESPECIFICADO,99,0,0,0,0,0,0,LABORATORIO ESTATAL DE SALUD PUBLICA,SI,1,1 PRUEBAS DE DETECCIÓN,,,3,AVENIDA,DE LOS DEPORTISTAS,,,7,COLONIA,8 DE OCTUBRE II SECCION,AVENIDA LOS DEPORTISTAS ENTRE BOULENARD LUIS DONALDO COLOSIO Y DATIL C.P. (23085),23085,EN OPERACION,1,15/12/2005,02/05/2006,24.122,-110.3147,SECRETARÍA DE SALUD ESTATAL,SESA,NO APLICA,6,URBANO,2,,637026,251871,50,50,67,67
